,car_model,car_brand,car_doors,car_year,car_odo,car_price
1652,Land Cruiser,Toyota,4 door,2022,0,420000
1653,Range Rover,Land Rover,4 door,2022,0,1020000
1654,Golf,Volkswagen,4 door,2022,0,230000
1655,Vantage,Aston Martin,2 door,2016,0,590000
1656,Range Rover,Land Rover,4 door,2018,5000,420000
1657,Veloster,Hyundai,4 door,2017,45300,63900
1658,Sunny,Nissan,5+ doors,2004,407000,10500
1659,Aventador,Lamborghini,2 door,2016,1400,950000
1660,GL-Class,Mercedes-Benz,4 door,2015,96799,147500
1661,Range Rover,Land Rover,5+ doors,2016,117000,185000
1662,Patriot,Jeep,5+ doors,2007,205000,12000
1663,S7/RS7,Audi,4 door,2013,89000,89500
1664,Sentra,Nissan,4 door,2014,184663,18500
1665,Rio,Kia,4 door,2014,80000,34000
1666,M8,BMW,4 door,2020,41000,455000
1667,Captur,Renault,5+ doors,2016,96366,25500
1668,IS-Series,Lexus,4 door,2010,157000,30000
1669,Patrol,Nissan,4 door,2016,188000,125000
1670,Patrol,Nissan,5+ doors,2014,145000,114000
1671,CL-Class,Mercedes-Benz,4 door,2008,158000,28000
1672,CLS-Class,Mercedes-Benz,4 door,2007,201000,25000
1673,Armada,Nissan,5+ doors,2011,116000,18000
1674,Challenger,Dodge,2 door,2016,133000,45000
1675,GX-Series,Lexus,4 door,2014,189000,87000
1676,5-Series,BMW,4 door,2014,156000,55000
1677,Quattroporte,Maserati,4 door,2015,197000,75000
1678,Touareg,Volkswagen,4 door,2014,122000,49000
1679,SL-Class,Mercedes-Benz,2 door,1982,150000,69999
1680,H3,Hummer,4 door,2007,145000,19900
1681,GLK-Class,Mercedes-Benz,4 door,2014,153000,67000
1682,765LT,McLaren,2 door,2022,1600,2379000
1683,LX-Series,Lexus,4 door,2013,110000,124000
1684,Trailblazer,Chevrolet,4 door,2021,10000,75000
1685,Range Rover,Land Rover,4 door,2011,210000,39000
1686,Altima,Nissan,4 door,2019,22000,49000
1687,Mustang,Ford,2 door,2016,35000,79000
1688,6-Series,BMW,4 door,2014,110000,83000
1689,Brera,Alfa Romeo,2 door,2009,81000,45000
1690,Patrol,Nissan,4 door,2010,280000,58000
1691,Challenger,Dodge,2 door,2019,40000,78000
1692,Wrangler Unlimited,Jeep,4 door,2015,19000,69000
1693,Mustang,Ford,2 door,2014,118000,29000
1694,LX-Series,Lexus,4 door,2008,142000,89000
1695,LX-Series,Lexus,4 door,2008,131000,90000
1696,Q7,Audi,4 door,2015,188000,59999
1697,GL-Class,Mercedes-Benz,4 door,2013,163000,76000
1698,Range Rover,Land Rover,4 door,2014,152000,139000
1699,Range Rover,Land Rover,4 door,2013,157000,115000
1700,765LT,McLaren,2 door,2022,1600,2379000
1701,LX-Series,Lexus,4 door,2013,110000,124000
1702,Trailblazer,Chevrolet,4 door,2021,10000,75000
1703,Range Rover,Land Rover,4 door,2011,210000,39000
1704,Altima,Nissan,4 door,2019,22000,49000
1705,Mustang,Ford,2 door,2016,35000,79000
1706,6-Series,BMW,4 door,2014,110000,83000
1707,Brera,Alfa Romeo,2 door,2009,81000,45000
1708,Patrol,Nissan,4 door,2010,280000,58000
1709,Challenger,Dodge,2 door,2019,40000,78000
1710,Wrangler Unlimited,Jeep,4 door,2015,19000,69000
1711,Mustang,Ford,2 door,2014,118000,29000
1712,LX-Series,Lexus,4 door,2008,142000,89000
1713,LX-Series,Lexus,4 door,2008,131000,90000
1714,Q7,Audi,4 door,2015,188000,59999
1715,GL-Class,Mercedes-Benz,4 door,2013,163000,76000
1716,Range Rover,Land Rover,4 door,2014,152000,139000
1717,Range Rover,Land Rover,4 door,2013,157000,115000
1718,Escape,Ford,4 door,2012,195000,19500
1719,Challenger,Dodge,5+ doors,2020,23000,300000
1720,Pajero,Mitsubishi,4 door,2012,137500,31500
1721,G37,Infiniti,4 door,2012,205381,30000
1722,Patrol,Nissan,5+ doors,2014,293800,72000
1723,Passat,Volkswagen,4 door,2013,176312,23500
1724,Sportage,Kia,4 door,2019,51100,67500
1725,Swift,Suzuki,4 door,2016,65000,35000
1726,Discovery,Land Rover,4 door,2015,160000,70000
1727,GLE Coupe,Mercedes-Benz,4 door,2018,78000,249000
1728,S-Class,Mercedes-Benz,4 door,2014,75000,175000
1729,EQA,Mercedes-Benz,4 door,2022,0,330000
1730,C-Class,Mercedes-Benz,4 door,2022,0,293000
1731,C-Class,Mercedes-Benz,4 door,2016,115000,74000
1732,Tundra,Toyota,4 door,2013,170000,59000
1733,7-Series,BMW,4 door,2015,8000,73000
1734,Armada,Nissan,4 door,2020,35000,149000
1735,LS-Series,Lexus,4 door,1999,183000,13000
1736,Altima,Nissan,4 door,2018,113000,33000
1737,Civic,Honda,4 door,2020,18400,46000
1738,Camry,Toyota,4 door,2016,150000,29000
1739,Hiace,Toyota,3 door,2014,232000,42000
1740,LX-Series,Lexus,4 door,2001,228000,22500
1741,Prado,Toyota,4 door,2009,176000,45000
1742,Sonata,Hyundai,4 door,2012,122000,24000
1743,S-Class,Mercedes-Benz,4 door,2018,45000,265000
1744,5-Series,BMW,5+ doors,2022,38000,172000
1745,Other,BMW,2 door,1973,60000,145000
1746,Defender,Land Rover,4 door,2022,22000,515000
1747,Bronco,Ford,4 door,2021,50,235000
1748,GT,Mercedes-Benz,2 door,2018,13000,389000
1749,Cayenne,Porsche,4 door,2018,80000,255000
1750,Defender,Land Rover,4 door,2020,36000,469000
1751,Range Rover Sport,Land Rover,4 door,2020,22000,475000
1752,Range Rover Velar,Land Rover,4 door,2022,30,395000
1753,Range Rover Sport,Land Rover,4 door,2022,30,519000
1754,Range Rover Evoque,Land Rover,4 door,2022,30,315000
1755,S-Class Coupe,Mercedes-Benz,2 door,2018,69000,375000
1756,C-Class,Mercedes-Benz,4 door,2022,50,319000
1757,Panamera,Porsche,4 door,2018,80000,285000
1758,A-Class,Mercedes-Benz,4 door,2022,50,265000
1759,8-Series,BMW,2 door,2019,30000,335000
1760,Range Rover,Land Rover,4 door,2020,40000,465000
1761,Swift,Suzuki,4 door,2009,189000,13500
1762,6,Mazda,4 door,2013,117638,26000
1763,Civic,Honda,4 door,2011,197540,18600
1764,LS-Series,Lexus,4 door,2013,280000,75000
1765,Range Rover Sport,Land Rover,4 door,2014,139000,119000
1766,Land Cruiser,Toyota,4 door,2014,400000,105000
1767,Pickup,Toyota,2 door,2008,170000,78000
1768,Pickup,Toyota,4 door,2008,270000,85000
1769,Land Cruiser,Toyota,4 door,2010,400000,95000
1770,LX600,Lexus,4 door,2022,0,650000
1771,GLK-Class,Mercedes-Benz,4 door,2014,190000,44000
1772,G-Class,Mercedes-Benz,4 door,2008,150000,105000
1773,LX-Series,Lexus,4 door,2009,350000,85000
1774,Land Cruiser,Toyota,4 door,2010,300000,92000
1775,A-Class,Mercedes-Benz,4 door,2022,50,265000
1776,8-Series,BMW,2 door,2019,30000,335000
1777,Range Rover,Land Rover,4 door,2020,40000,465000
1778,Swift,Suzuki,4 door,2009,189000,13500
1779,6,Mazda,4 door,2013,117638,26000
1780,Civic,Honda,4 door,2011,197540,18600
1781,LS-Series,Lexus,4 door,2013,280000,75000
1782,Range Rover Sport,Land Rover,4 door,2014,139000,119000
1783,Land Cruiser,Toyota,4 door,2014,400000,105000
1784,Pickup,Toyota,2 door,2008,170000,78000
1785,Pickup,Toyota,4 door,2008,270000,85000
1786,Land Cruiser,Toyota,4 door,2010,400000,95000
1787,LX600,Lexus,4 door,2022,0,650000
1788,GLK-Class,Mercedes-Benz,4 door,2014,190000,44000
1789,G-Class,Mercedes-Benz,4 door,2008,150000,105000
1790,LX-Series,Lexus,4 door,2009,350000,85000
1791,Land Cruiser,Toyota,4 door,2010,300000,92000
